annual_usage,bend_radius,bracket_pricing,comp_sum_weight,diameter,end_a_1x,end_a_2x,end_x_1x,end_x_2x,forming_x,forming_y,freq_supp,length,material_id_SP-0008,material_id_SP-0019,material_id_SP-0028,material_id_SP-0029,material_id_SP-0030,material_id_SP-0031,material_id_SP-0032,material_id_SP-0033,material_id_SP-0034,material_id_SP-0035,material_id_SP-0036,material_id_SP-0037,material_id_SP-0038,material_id_SP-0039,material_id_SP-0041,material_id_SP-0046,material_id_SP-0048,material_id_SP-9999,month,num_bends,num_boss,num_bracket,other,rev_qty,wall,year
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,1,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,2,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,5,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,10,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,25,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,50,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,100,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.0,0.0,0.0,0.0,250,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,1,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,2,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,5,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,10,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,25,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,50,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,100,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.0,0.0,0.0,0.0,250,0.71,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,1,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,2,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,5,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,10,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,25,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,50,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,100,1.24,2013
0,50.8,1,0.21,19.05,0,0,0,0,0,0,475,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.0,0.0,0.0,0.0,250,1.24,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7.0,0.0,0.0,0.0,1,0.71,2013
0,19.05,1,0.018000000000000002,6.35,0,0,0,0,1,1,475,207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7.0,0.0,0.0,0.0,2,0.71,2013
